Reporter_ID;Gene;Pathway
A_16_P00012098;PIK3CD;RTK
A_16_P15023799;PIK3CD;RTK
A_16_P15023813;PIK3CD;RTK
A_16_P15023836;PIK3CD;RTK
A_16_P15023843;PIK3CD;RTK
A_14_P131532;PIK3CD;RTK
A_16_P00012149;PIK3CD;RTK
A_14_P109987;CDKN2C;RB
A_14_P200978;CDKN2C;RB
A_14_P103853;NRAS;RTK
A_14_P112059;NRAS;RTK
A_14_P122888;NRAS;RTK
A_14_P111843;PIK3C2B;RTK
A_16_P15418493;PIK3C2B;RTK
A_16_P15418510;PIK3C2B;RTK
A_14_P107166;PIK3C2B;RTK
A_16_P00237168;PIK3C2B;RTK
A_16_P15418631;PIK3C2B;RTK
A_16_P00237206;PIK3C2B;RTK
A_14_P124092;MDM4;P53
A_16_P00237249;MDM4;P53
A_16_P00237259;MDM4;P53
A_14_P127624;MDM4;P53
A_14_P107841;AKT3;RTK
A_16_P15512931;AKT3;RTK
A_16_P15512937;AKT3;RTK
A_16_P15512956;AKT3;RTK
A_16_P15512963;AKT3;RTK
A_16_P00290583;AKT3;RTK
A_16_P00290594;AKT3;RTK
A_16_P00290615;AKT3;RTK
A_14_P129004;AKT3;RTK
A_16_P35533790;AKT3;RTK
A_16_P15513075;AKT3;RTK
A_16_P15513081;AKT3;RTK
A_16_P35533809;AKT3;RTK
A_16_P00290674;AKT3;RTK
A_16_P15513144;AKT3;RTK
A_16_P35533883;AKT3;RTK
A_14_P123877;AKT3;RTK
A_16_P15513212;AKT3;RTK
A_16_P35533965;AKT3;RTK
A_16_P15513272;AKT3;RTK
A_16_P00290772;AKT3;RTK
A_16_P35534058;AKT3;RTK
A_16_P15513371;AKT3;RTK
A_16_P35534124;AKT3;RTK
A_16_P00290853;AKT3;RTK
A_14_P135952;AKT3;RTK
A_16_P35534205;AKT3;RTK
A_16_P15513501;AKT3;RTK
A_16_P15513518;AKT3;RTK
A_16_P35534249;AKT3;RTK
A_16_P15513555;AKT3;RTK
A_16_P15513575;AKT3;RTK
A_16_P15513598;AKT3;RTK
A_16_P00290953;AKT3;RTK
A_16_P15513633;AKT3;RTK
A_14_P108181;AKT3;RTK
A_16_P36099445;IRS1;RTK
A_16_P16063932;IRS1;RTK
A_14_P125106;IRS1;RTK
A_16_P36099551;IRS1;RTK
A_16_P16064025;IRS1;RTK
A_16_P00610527;IRS1;RTK
A_16_P16064071;IRS1;RTK
A_14_P108675;IRS1;RTK
A_14_P103765;RAF1;RTK
A_16_P16132741;RAF1;RTK
A_16_P00650496;RAF1;RTK
A_16_P16132794;RAF1;RTK
A_16_P16132824;RAF1;RTK
A_16_P36170733;RAF1;RTK
A_14_P126015;RAF1;RTK
A_16_P16132870;RAF1;RTK
A_16_P00650557;RAF1;RTK
A_14_P115592;RAF1;RTK
A_16_P36468740;PIK3CB;RTK
A_16_P16422697;PIK3CB;RTK
A_16_P00821859;PIK3CB;RTK
A_16_P00821878;PIK3CB;RTK
A_16_P00821889;PIK3CB;RTK
A_14_P119288;PIK3CB;RTK
A_16_P16422823;PIK3CB;RTK
A_16_P16422836;PIK3CB;RTK
A_16_P00821948;PIK3CB;RTK
A_14_P126060;PIK3CB;RTK
A_16_P36565813;PIK3CA;RTK
A_16_P16518036;PIK3CA;RTK
A_16_P36565860;PIK3CA;RTK
A_16_P00879177;PIK3CA;RTK
A_16_P16518096;PIK3CA;RTK
A_16_P00879208;PIK3CA;RTK
A_14_P108238;PIK3CA;RTK
A_14_P128410;PIK3CA;RTK
A_14_P113684;PIK3CA;RTK
A_16_P00879251;PIK3CA;RTK
A_14_P127878;PIK3CA;RTK
A_16_P00975657;PDGFRA;RTK
A_16_P00975660;PDGFRA;RTK
A_14_P127882;PDGFRA;RTK
A_16_P00975688;PDGFRA;RTK
A_16_P36736582;PDGFRA;RTK
A_16_P00975718;PDGFRA;RTK
A_14_P111616;PDGFRA;RTK
A_16_P36944427;GAB1;RTK
A_14_P128280;GAB1;RTK
A_16_P16888244;GAB1;RTK
A_16_P36944525;GAB1;RTK
A_16_P16888285;GAB1;RTK
A_14_P123769;GAB1;RTK
A_16_P16888336;GAB1;RTK
A_14_P125611;GAB1;RTK
A_16_P16888429;GAB1;RTK
A_16_P16888438;GAB1;RTK
A_16_P01096231;GAB1;RTK
A_16_P01096258;GAB1;RTK
A_14_P111004;GAB1;RTK
A_14_P105607;PIK3R1;RTK
A_16_P17153467;PIK3R1;RTK
A_14_P123059;PIK3R1;RTK
A_14_P200691;PIK3R1;RTK
A_16_P17153589;PIK3R1;RTK
A_16_P37214865;PIK3R1;RTK
A_16_P01251876;PIK3R1;RTK
A_16_P01251887;PIK3R1;RTK
A_16_P17153679;PIK3R1;RTK
A_16_P37412027;PDGFRB;RTK
A_14_P139835;PDGFRB;RTK
A_16_P01364221;PDGFRB;RTK
A_14_P126063;PDGFRB;RTK
A_16_P17346489;PDGFRB;RTK
A_16_P17346508;PDGFRB;RTK
A_14_P136371;PDGFRB;RTK
A_16_P01553347;FOXO3;RTK
A_16_P17669754;FOXO3;RTK
A_14_P136940;FOXO3;RTK
A_16_P01553400;FOXO3;RTK
A_16_P17669839;FOXO3;RTK
A_14_P137574;FOXO3;RTK
A_16_P01553442;FOXO3;RTK
A_16_P01553465;FOXO3;RTK
A_14_P120450;FOXO3;RTK
A_16_P37744911;FOXO3;RTK
A_16_P17669997;FOXO3;RTK
A_14_P113477;FOXO3;RTK
A_16_P17670088;FOXO3;RTK
A_16_P01718015;EGFR;RTK
A_16_P38034164;EGFR;RTK
A_16_P17952309;EGFR;RTK
A_16_P17952331;EGFR;RTK
A_16_P17952351;EGFR;RTK
A_16_P17952382;EGFR;RTK
A_16_P01718103;EGFR;RTK
A_14_P107057;EGFR;RTK
A_16_P38034358;EGFR;RTK
A_16_P17952505;EGFR;RTK
A_16_P17952535;EGFR;RTK
A_14_P102368;EGFR;RTK
A_16_P17952602;EGFR;RTK
A_16_P38034515;EGFR;RTK
A_16_P01718265;EGFR;RTK
A_14_P133869;EGFR;RTK
A_16_P17952748;EGFR;RTK
A_16_P01718353;EGFR;RTK
A_16_P17952840;EGFR;RTK
A_16_P38034765;EGFR;RTK
A_14_P106592;EGFR;RTK
A_16_P38110052;CDK6;RB
A_16_P01755074;CDK6;RB
A_14_P126618;CDK6;RB
A_16_P01755099;CDK6;RB
A_16_P18026172;CDK6;RB
A_16_P18026188;CDK6;RB
A_16_P18026211;CDK6;RB
A_16_P18026252;CDK6;RB
A_16_P18026273;CDK6;RB
A_14_P106866;CDK6;RB
A_16_P38110328;CDK6;RB
A_16_P38110346;CDK6;RB
A_16_P38110376;CDK6;RB
A_16_P18026432;CDK6;RB
A_14_P139917;CDK6;RB
A_16_P18026486;CDK6;RB
A_16_P01755326;CDK6;RB
A_16_P18026533;CDK6;RB
A_16_P18026557;CDK6;RB
A_14_P120023;CDK6;RB
A_16_P18026622;CDK6;RB
A_16_P18026641;CDK6;RB
A_16_P18026657;CDK6;RB
A_16_P01755422;CDK6;RB
A_14_P110312;CDK6;RB
A_16_P18026728;CDK6;RB
A_16_P18026761;CDK6;RB
A_16_P01773492;PIK3CG;RTK
A_14_P139317;PIK3CG;RTK
A_14_P129537;PIK3CG;RTK
A_16_P18059225;PIK3CG;RTK
A_14_P116511;PIK3CG;RTK
A_16_P18083057;MET;RTK
A_16_P18083085;MET;RTK
A_14_P113351;MET;RTK
A_16_P18083153;MET;RTK
A_16_P38169401;MET;RTK
A_16_P38169409;MET;RTK
A_14_P102324;MET;RTK
A_16_P38169458;MET;RTK
A_16_P18083236;MET;RTK
A_16_P01788006;MET;RTK
A_16_P01788019;MET;RTK
A_16_P01788038;MET;RTK
A_16_P01788056;MET;RTK
A_14_P137799;MET;RTK
A_14_P101311;MET;RTK
A_14_P119122;MET;RTK
A_16_P18140952;BRAF;RTK
A_16_P01822239;BRAF;RTK
A_14_P113117;BRAF;RTK
A_16_P01822272;BRAF;RTK
A_14_P126051;BRAF;RTK
A_14_P121749;BRAF;RTK
A_16_P18141094;BRAF;RTK
A_16_P18141117;BRAF;RTK
A_16_P18141147;BRAF;RTK
A_16_P18141162;BRAF;RTK
A_14_P101856;BRAF;RTK
A_16_P18141206;BRAF;RTK
A_16_P01822372;BRAF;RTK
A_16_P18141224;BRAF;RTK
A_16_P38228998;BRAF;RTK
A_16_P18141260;BRAF;RTK
A_14_P125706;BRAF;RTK
A_16_P18141281;BRAF;RTK
A_16_P18141300;BRAF;RTK
A_16_P38229079;BRAF;RTK
A_14_P124829;BRAF;RTK
A_16_P38373271;FGFR1;RTK
A_16_P01900777;FGFR1;RTK
A_16_P18281808;FGFR1;RTK
A_14_P139342;FGFR1;RTK
A_14_P117830;FGFR1;RTK
A_14_P129719;FGFR1;RTK
A_14_P129522;CDKN2A;P53
A_14_P130650;CDKN2A;P53
A_16_P18578387;CDKN2A;P53
A_14_P112983;CDKN2A;P53
A_16_P18578423;CDKN2A;P53
A_14_P102897;CDKN2B;RB
A_14_P103496;CDKN2B;RB
A_14_P127768;CDKN2B;RB
A_14_P118440;CDKN2B;RB
A_14_P112505;PTEN;RTK
A_16_P39120944;PTEN;RTK
A_16_P19010911;PTEN;RTK
A_16_P39120996;PTEN;RTK
A_16_P19010938;PTEN;RTK
A_16_P19010968;PTEN;RTK
A_14_P104130;PTEN;RTK
A_16_P39121090;PTEN;RTK
A_14_P105028;PTEN;RTK
A_16_P39121122;PTEN;RTK
A_14_P101020;FGFR2;RTK
A_16_P02359616;FGFR2;RTK
A_16_P19092427;FGFR2;RTK
A_16_P19092465;FGFR2;RTK
A_14_P135350;FGFR2;RTK
A_16_P39205559;FGFR2;RTK
A_14_P113992;FGFR2;RTK
A_16_P19092576;FGFR2;RTK
A_16_P39205631;FGFR2;RTK
A_16_P02359767;FGFR2;RTK
A_16_P19092647;FGFR2;RTK
A_14_P109832;FGFR2;RTK
A_16_P02359811;FGFR2;RTK
A_14_P106065;FGFR2;RTK
A_14_P132745;HRAS;RTK
A_16_P02463962;CCND1;RB
A_14_P102675;CCND1;RB
A_14_P117958;CCND1;RB
A_14_P115342;CBL;RTK
A_16_P19390555;CBL;RTK
A_16_P39514806;CBL;RTK
A_14_P135711;CBL;RTK
A_16_P19390615;CBL;RTK
A_14_P133789;CBL;RTK
A_16_P19390637;CBL;RTK
A_16_P19390651;CBL;RTK
A_14_P114113;CBL;RTK
A_16_P39514953;CBL;RTK
A_14_P200324;CBL;RTK
A_16_P19441524;CCND2;RB
A_14_P123413;CCND2;RB
A_16_P19441577;CCND2;RB
A_16_P02561627;CCND2;RB
A_14_P115005;CCND2;RB
A_16_P19473698;PIK3C2G;RTK
A_16_P19473730;PIK3C2G;RTK
A_16_P19473759;PIK3C2G;RTK
A_14_P102190;PIK3C2G;RTK
A_16_P19473803;PIK3C2G;RTK
A_16_P39601175;PIK3C2G;RTK
A_16_P19473827;PIK3C2G;RTK
A_16_P19473849;PIK3C2G;RTK
A_16_P19473870;PIK3C2G;RTK
A_16_P02579847;PIK3C2G;RTK
A_16_P39601299;PIK3C2G;RTK
A_16_P02579874;PIK3C2G;RTK
A_16_P39601326;PIK3C2G;RTK
A_16_P19473983;PIK3C2G;RTK
A_16_P19473998;PIK3C2G;RTK
A_16_P02579913;PIK3C2G;RTK
A_16_P19474039;PIK3C2G;RTK
A_16_P39601427;PIK3C2G;RTK
A_16_P19474074;PIK3C2G;RTK
A_16_P19474087;PIK3C2G;RTK
A_16_P02579967;PIK3C2G;RTK
A_16_P39601519;PIK3C2G;RTK
A_16_P39601556;PIK3C2G;RTK
A_16_P19474198;PIK3C2G;RTK
A_16_P39601595;PIK3C2G;RTK
A_16_P19474250;PIK3C2G;RTK
A_16_P39601651;PIK3C2G;RTK
A_14_P126872;PIK3C2G;RTK
A_16_P19474346;PIK3C2G;RTK
A_16_P19474365;PIK3C2G;RTK
A_16_P19474373;PIK3C2G;RTK
A_16_P19474399;PIK3C2G;RTK
A_16_P02580171;PIK3C2G;RTK
A_16_P19474459;PIK3C2G;RTK
A_16_P19474494;PIK3C2G;RTK
A_16_P39601897;PIK3C2G;RTK
A_16_P19474528;PIK3C2G;RTK
A_16_P39601926;PIK3C2G;RTK
A_16_P19474557;PIK3C2G;RTK
A_16_P39601972;PIK3C2G;RTK
A_16_P19474595;PIK3C2G;RTK
A_16_P19474615;PIK3C2G;RTK
A_14_P126208;PIK3C2G;RTK
A_16_P02589520;KRAS;RTK
A_16_P19490021;KRAS;RTK
A_16_P19490060;KRAS;RTK
A_14_P100435;KRAS;RTK
A_14_P106292;KRAS;RTK
A_14_P201137;KRAS;RTK
A_16_P02626129;ERBB3;RTK
A_14_P135669;ERBB3;RTK
A_14_P135292;ERBB3;RTK
A_14_P131940;CDK4;RB
A_14_P114083;CDK4;RB
A_14_P137531;CDK4;RB
A_14_P132739;MDM2;P53
A_14_P133404;MDM2;P53
A_14_P118388;MDM2;P53
A_14_P108536;FOXO1;RTK
A_16_P19787251;FOXO1;RTK
A_16_P19787267;FOXO1;RTK
A_16_P19787300;FOXO1;RTK
A_16_P02762354;FOXO1;RTK
A_16_P19787345;FOXO1;RTK
A_16_P02762390;FOXO1;RTK
A_14_P100972;FOXO1;RTK
A_16_P39925721;FOXO1;RTK
A_14_P138465;FOXO1;RTK
A_16_P02762453;FOXO1;RTK
A_16_P02762463;FOXO1;RTK
A_16_P02762473;FOXO1;RTK
A_16_P19787539;FOXO1;RTK
A_14_P104811;FOXO1;RTK
A_16_P02773383;RB1;RB
A_16_P19805883;RB1;RB
A_16_P02773395;RB1;RB
A_16_P19805908;RB1;RB
A_16_P19805932;RB1;RB
A_16_P19805949;RB1;RB
A_14_P110907;RB1;RB
A_16_P19805993;RB1;RB
A_16_P39944767;RB1;RB
A_16_P19806026;RB1;RB
A_16_P39944810;RB1;RB
A_16_P39944822;RB1;RB
A_14_P111741;RB1;RB
A_14_P124286;RB1;RB
A_16_P02773526;RB1;RB
A_16_P19806119;RB1;RB
A_16_P39944901;RB1;RB
A_16_P19806145;RB1;RB
A_16_P19806161;RB1;RB
A_16_P02773567;RB1;RB
A_16_P02773577;RB1;RB
A_16_P02773589;RB1;RB
A_16_P19806231;RB1;RB
A_14_P139049;RB1;RB
A_14_P201024;SPRY2;RTK
A_14_P118250;SPRY2;RTK
A_14_P129198;SPRY2;RTK
A_14_P117688;AKT1;RTK
A_14_P108902;AKT1;RTK
A_16_P02990145;AKT1;RTK
A_16_P02990154;AKT1;RTK
A_14_P105663;AKT1;RTK
A_16_P02990171;AKT1;RTK
A_14_P138231;AKT1;RTK
A_16_P03095336;IGF1R;RTK
A_16_P03095354;IGF1R;RTK
A_16_P20365224;IGF1R;RTK
A_16_P40519664;IGF1R;RTK
A_16_P03095390;IGF1R;RTK
A_16_P03095409;IGF1R;RTK
A_16_P03095417;IGF1R;RTK
A_14_P137108;IGF1R;RTK
A_16_P20365338;IGF1R;RTK
A_16_P20365362;IGF1R;RTK
A_16_P03095474;IGF1R;RTK
A_16_P20365421;IGF1R;RTK
A_16_P20365445;IGF1R;RTK
A_14_P127863;IGF1R;RTK
A_16_P03095546;IGF1R;RTK
A_16_P20365521;IGF1R;RTK
A_16_P20365541;IGF1R;RTK
A_16_P03095583;IGF1R;RTK
A_16_P03095602;IGF1R;RTK
A_16_P40520045;IGF1R;RTK
A_14_P136953;IGF1R;RTK
A_16_P20365683;IGF1R;RTK
A_16_P03095675;IGF1R;RTK
A_16_P20365751;IGF1R;RTK
A_16_P20365771;IGF1R;RTK
A_16_P20365783;IGF1R;RTK
A_16_P20365801;IGF1R;RTK
A_16_P03095744;IGF1R;RTK
A_14_P109468;IGF1R;RTK
A_16_P20365857;IGF1R;RTK
A_16_P03095791;IGF1R;RTK
A_14_P117711;IGF1R;RTK
A_16_P03095832;IGF1R;RTK
A_16_P03095850;IGF1R;RTK
A_16_P20366008;IGF1R;RTK
A_16_P20366028;IGF1R;RTK
A_16_P03095901;IGF1R;RTK
A_16_P20366109;IGF1R;RTK
A_16_P03095938;IGF1R;RTK
A_14_P120932;IGF1R;RTK
A_14_P107472;PDPK1;RTK
A_16_P20380444;PDPK1;RTK
A_16_P40536436;PDPK1;RTK
A_14_P120883;PDPK1;RTK
A_14_P128757;PDPK1;RTK
A_14_P123854;PDPK1;RTK
A_14_P104532;TP53;P53
A_14_P122951;TP53;P53
A_16_P20578481;TP53;P53
A_14_P100302;TP53;P53
A_16_P20622714;NF1;RTK
A_16_P20622736;NF1;RTK
A_16_P20622744;NF1;RTK
A_14_P104750;NF1;RTK
A_16_P20622761;NF1;RTK
A_16_P03231984;NF1;RTK
A_16_P20622784;NF1;RTK
A_14_P104446;NF1;RTK
A_16_P40791275;NF1;RTK
A_16_P03232018;NF1;RTK
A_14_P121459;NF1;RTK
A_16_P20622878;NF1;RTK
A_14_P127545;NF1;RTK
A_16_P20622944;NF1;RTK
A_16_P20623002;NF1;RTK
A_14_P129024;NF1;RTK
A_16_P03232143;NF1;RTK
A_16_P40791588;NF1;RTK
A_16_P20623112;NF1;RTK
A_16_P20623127;NF1;RTK
A_14_P108346;NF1;RTK
A_14_P200469;NF1;RTK
A_16_P40791682;NF1;RTK
A_16_P40791695;NF1;RTK
A_14_P126527;NF1;RTK
A_14_P117287;NF1;RTK
A_16_P40791755;NF1;RTK
A_16_P03232259;NF1;RTK
A_16_P03232266;NF1;RTK
A_16_P20623296;NF1;RTK
A_16_P03232295;NF1;RTK
A_14_P134602;NF1;RTK
A_16_P20623369;NF1;RTK
A_16_P40791935;NF1;RTK
A_16_P03242839;ERBB2;RTK
A_14_P121276;ERBB2;RTK
A_14_P114826;ERBB2;RTK
A_16_P20643178;ERBB2;RTK
A_14_P126019;ERBB2;RTK
A_14_P105233;GRB2;RTK
A_14_P128518;GRB2;RTK
A_16_P03291135;GRB2;RTK
A_16_P20729813;GRB2;RTK
A_16_P40904260;GRB2;RTK
A_14_P128049;GRB2;RTK
A_16_P40904311;GRB2;RTK
A_14_P109665;GRB2;RTK
A_16_P20729942;GRB2;RTK
A_16_P40904360;GRB2;RTK
A_16_P03291249;GRB2;RTK
A_14_P133175;PIK3R2;RTK
A_14_P127707;PIK3R2;RTK
A_14_P103501;PIK3R2;RTK
A_14_P107978;AKT2;RTK
A_16_P21009342;AKT2;RTK
A_16_P21009357;AKT2;RTK
A_16_P03450716;AKT2;RTK
A_14_P109831;AKT2;RTK
A_14_P133345;AKT2;RTK
A_14_P101866;SRC;RTK
A_16_P21123355;SRC;RTK
A_16_P03512637;SRC;RTK
A_14_P105797;SRC;RTK
A_16_P21123418;SRC;RTK
A_14_P111562;SRC;RTK
A_16_P21462951;ARAF;RTK
A_14_P126705;ARAF;RTK
A_14_P110286;ARAF;RTK
A_14_P137340;FOXO4;RTK
A_14_P126777;FOXO4;RTK
A_14_P116918;FOXO4;RTK
