Gene;Pathway
GRB2;RTK
PIK3CB;RTK
PDGFRB;RTK
HRAS;RTK
CDKN2B;RB
FOXO1;RTK
PIK3C2B;RTK
MDM2;P53
AKT2;RTK
EGFR;RTK
ERBB2;RTK
PIK3R1;RTK
FOXO4;RTK
MDM4;P53
FGFR1;RTK
CDK4;RB
PIK3CD;RTK
PIK3R2;RTK
SRC;RTK
KRAS;RTK
CDK6;RB
FGFR2;RTK
PDPK1;RTK
CBL;RTK
CCND2;RB
MET;RTK
IRS1;RTK
SPRY2;RTK
NF1;RTK
PDGFRA;RTK
BRAF;RTK
AKT3;RTK
PIK3CG;RTK
PIK3CA;RTK
ERBB3;RTK
IGF1R;RTK
AKT1;RTK
FOXO3;RTK
CDKN2A;P53
CCND1;RB
PIK3C2G;RTK
RB1;RB
TP53;P53
CDKN2C;RB
PTEN;RTK
NRAS;RTK
RAF1;RTK
ARAF;RTK
GAB1;RTK
